NOMBRE,CODIGO_LOCALIDAD
MARIA CANO,19
LA PAZ(EL CEBADAL),18
EL PORTAL II SECTOR,18
LA RECONQUISTA SECTOR VILLA ESTHER,18
NUEVA SILVANIA SUR,18
LA VICTORIA  (ANEXO),04
BARRIO LA VICTORIA,04
BARRIO ALTAMIRA,04
BOSA LA ESTACION I,07
SAN JOSE DE FONTIBON,09
SAN JOAQUIN EL VATICANO SECTOR CARRIZAL,19
LA PLAYA II SECTOR,19
BRASIL 2-9,07
VILLA CLEMENCIA I,08
ENGATIVA PUEBLO I,10
EL PORVENIR - BARRIO LA ESTACION,07
VILLA NATALIA,07
BARRANCAS,01
AZUCENA I,07
RINCON SECTOR ESCUELA I,11
MIRADOR PARADERO,19
ARAUQUITA,01
BOGOTÁ SUR LA ESPERANZA I,19
BOGOTA CASTILLO GRANDE,19
ENGATIVA EL TRIANGULO ,10
SECTOR SAN JOSE I,11
HORTELANOS ESCOCIA I,07
BUENAVISTA SUR ORIENTAL UN PUNTO,04
LA ESTANZUELA III,07
BARRIO NUEVA GRANADA PABLO VI,07
VILLAS DE CHICALA,07
LA FLORIDA I SECTOR,10
RINCON CAMPESTRE,07
SECTOR GRANJAS DEL DORADO,10
EL SAUCEDAL,08
PATIO BONITO II SECTOR,08
TEJARES SECTOR 3,05
MONTE BLANCO PARTE B,05
LA ESTACION,07
VILLA GLADYS IV SECTOR,10
SAN CAYATANO SECTOR PARIS,10
TUNA BAJA SEGUNDO SECTOR,11
BONANZA SUR,19
EL UVAL IA,05
LA ISLA DE FONTIBON,09
LA VEGA 1,07
MARCO FIDEL SUAREZ SAN JORGE,18
MONTECARLO,07
SAN JUAN BAUTISTA II,05
JUAN REY LA FLORA,05
LA NUEVA ESTACIÓN,07
RINCON DE BULEVAR,05
LA MERCEDES 2,05
PALERMO SUR (EL TRIANGULO),18
CORINTO,04
MALVINAS,04
MEISSEN,19
CALVO SUR II,04
EL QUINDIO LA ESMERALDA,04
VILLA NEIRA,04
EL TRIANGULO,04
EL BOSQUE DE BOSA II,07
LA SELVA,04
LA UNION DEL DIVINO NIÑO,19
URBANIZACION LAS MERCEDES,04
ARGELIA RENACER II,07
ARBOLEDA (ANTES ARBOLEDA SUR 2),18
PUENTE COLORADO,04
BELEN II,09
ATAHUALPA EL CHARQUITO,09
SANTA VIVIANA,19
BUENAVISTA II SECTOR,01
BOSA CENTRO I,07
BUENAVISTA II SECTOR,01
BUENOS AIRES 3,04
CENTRO SUBA EL ORAL,11
JIMENEZ DE QUESADA CENTRO,07
LA CECILIA,04
SAN MIGUEL EL CEDRO,11
SAN LUIS LA COLMENA,19
RINCON SANTO I,09
LA CONCEPCION IV SECTOR,07
BOSA LA INDEPENDENCIA III SECTOR,07
TORCOROMA I,09
EL LLANO SECTOR FANDIÑO I,07
ESTRELLA TURQUIA 2,19
LOS LAURELES SUR ORIENTAL I SEC.,04
LA CABAÑA EL VATICANO,07
NUEVA LITUANIA,10
PASTRANA,08
LA DULZURA 2,09
FISCALA BUENAVISTA,05
